id,domaine,portefeuille,titre,statut,risques
cdf-institutions-refondation,Institutions,Premier ministre,Refondation institutionnelle,consolide,"majorite constitutionnelle; controle juridictionnel; resistance institutionnelle"
cdf-education-transmission,Education,Education,Ecole de transmission et d'autorite,consolide,"acceptabilite sociale; cout de revalorisation; application etablissements"
cdf-securite-tolerance-zero,Securite,Interieur,Tolerance zero et reconquete territoriale,consolide,"tension sociale; cout penal et carceral; reconnaissance faciale"
cdf-immigration-choisie,Immigration,Interieur,Immigration choisie et integration exigeante,consolide,"contentieux constitutionnel; contentieux europeen; pression diplomatique"
cdf-economie-production,Economie et travail,Economie,Travail production et preference nationale,consolide,"negociation sociale; compatibilite europeenne; effets sectoriels"
cdf-budget-deficit-zero,Finances publiques,Budget,Deficit zero en trois ans,a_auditer,"croissance +1,5%; trajectoire a verifier; coherence des chiffres"
cdf-etat-sobre,Reforme de l'Etat,Budget,Etat sobre et fonction publique reaffectee,consolide,"transition administrative; acceptabilite territoriale; qualite service public"
cdf-probite-elus,Institutions et probite,Justice,Probite et responsabilite des elus,consolide,"reforme constitutionnelle; equilibre pouvoirs; controle effectif"
cdf-sante-hopital,Sante,Sante,Hopital public et souverainete sanitaire,consolide,"cout recurrent; tension professions medicales; mise en oeuvre territoriale"
cdf-retraites-capitalisation,Retraites,Social,Regime universel de retraite par capitalisation,a_auditer,"cout transition non integre; acceptabilite sociale; complexite financiere"
cdf-identite-laicite,Identite et laicite,Culture,Identite francaise laicite et patrimoine,consolide,"contentieux juridique; polarisation culturelle; communication"
cdf-souverainete-international,Souverainete et politique etrangere,Affaires etrangeres,Souverainete et diplomatie pragmatique,consolide,"pression europeenne; tensions diplomatiques; arbitrage alliances"
cdf-numerique-ia,Numerique et IA,Numerique,Guichet numerique unique et IA encadree,consolide,"cybersecurite; fracture numerique; cout integration systemes"
cdf-justice-victimes,Justice,Justice,Justice rapide et victimes prioritaires,consolide,"cout carceral; delai recrutement; capacite operationnelle"
cdf-ecologie-pragmatique,Ecologie,Ecologie,Ecologie pragmatique et souverainete agricole,consolide,"opposition ecologiste; compatibilite europeenne; acceptabilite locale"
cdf-famille-social,Famille et social,Social,Natalite dependance et aides au travail,consolide,"cout social; effets emploi; ciblage aides"
cdf-terrorisme-radicalisation,Terrorisme et radicalisation,Interieur,Anti-radicalisation et financement etranger,consolide,"libertes publiques; pression diplomatique; definition radicalisation"
cdf-outre-mer,Outre-mer,Outre-mer,Outre-mer independance choisie et economie bleue,consolide,"cohesion nationale; cout transition; equilibres locaux"
cdf-transports-infrastructures,Transports et infrastructures,Transports,Mobilites decentralisees,consolide,"contrats autoroutiers; effets territoriaux; investissements mobilite"
cdf-medias-liberte,Medias et liberte d'expression,Culture,Medias liberte d'expression et responsabilite,consolide,"pression mediatique; pluralisme; equilibre liberte responsabilite"
